OBJECTID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),GlobalID,Survey Time and Date,Observer4,Observer3,Observer2,Observer1,Longitude,Latitude,Other water quality notes,pH,Specific Conductivity Unit,Specific Conductivity,Dissolved Oxygen Unit,Dissolved Oxygen,Water Temperature,Water Temperature Unit,Instrument Used,Stream Width,Fish Habitat Features 1,Sub Dominant Substrate,Dominant Substrate,Stream Width Unit,Fish Habitat Features 2,Gradient Unit,Gradient,FRPA Barrier?,On Main Channel?,Channel Type,Survey end reason,Fish Survey Performed?,Stream physical characteristics notes,Fish capture data notes,Minnow trap effort notes,Eletrofishing effort notes,Trap position,Trap quantity,Trap deployment time,Fish present?,End of survey?,Trap check time,Fish Count 1,Fish Life Stage 1,Fish Species 1,Electrofishing End Time,Electrofishing Start Time,Fish Life Stage 2,Fish Species 2,Fish Capture 1 Notes,Additional Fish Capture Data,Fish Capture 2 Notes,Fish Count 2,Fish Species 4,Fish Capture 3 Notes,Fish Count 3,Fish Life Stage 3,Fish Species 3,Fish Capture 6 Notes,Fish Count 6,Fish Life Stage 6,Fish Species 6,Fish Capture 5 Notes,Fish Count 5,Fish Life Stage 5,Fish Species 5,Fish Capture 4 Notes,Fish Count 4,Fish Life Stage 4,GPS Accuracy,Turbidity Observation Time,Turbidity Sample Collection Time,Turbidity,Stream Width 3,Stream Width 2,Gradient Facing Downstream,x,y
34,0.059263999999488,0,230.741033202962,2,Juniper Systems AR4,1.48660687473185,2.1,60.4836668333333,-151.058852333333,37.7,1.12999999523163,0.660000026226044,0.959999978542328,1,,,32,7/31/2025 3:33:32 AM,,,,,05fc8423-1707-4784-9e0d-df321a9d8ac3,7/30/2025 3:34:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.058852333666,60.4836668332046
35,0,251.364449520959,293.650543212891,2,iPhone SE 3,8.2600299091828,12.6565258132469,60.8031739662975,-149.201819101208,314.411262001842,,,,,,,,7/31/2025 9:32:08 PM,,,,,717734fa-df75-48f2-b49e-dbf5a7517d66,7/31/2025 9:32:58 PM,St,Ls,BR,,,,,,,,,,,,,1-2,SWD,Large Gravel,Cobble,ft,,,,,Y,,,Y,,,,,,,,Y,N,,3,juvenile,Salvelinus malma,7/31/2025 9:35:45 PM,7/31/2025 9:32:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.201819101418,60.8031739661773
36,0,69.3026605285398,346.142181396484,2,iPhone SE 3,4.26070773922993,11.5854094009106,60.8034507781665,-149.201317096973,316.503140667453,,,,,,,,7/31/2025 9:42:51 PM,,,,,43ebaf6f-94a1-4f94-80a7-9fa1ad882e82,7/31/2025 9:46:57 PM,St,Ls,Br,,,,,,,,,,,,,2-4,SWD,Small Gravel,Large Gravel,ft,,,,,,,,Y,,,,,,,,Y,N,,4,juvenile,Salvelinus malma,7/31/2025 9:50:29 PM,7/31/2025 9:47:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.201317096786,60.8034507781268
37,0,,138.643920898438,2,iPhone SE 3,12.3371543695398,12.6615673354212,60.8035789399153,-149.20125061935,319.800434589386,,,,,,,,7/31/2025 10:00:15 PM,,,,,99eab655-1ceb-42ef-8747-c09e798ea4cf,7/31/2025 10:00:32 PM,,,,Bm,,,,,,,,,,,,2-4,,Large Gravel,Cobble,ft,,,,,,,,,,,,Returned back downhill to last known AWC point due to very challenging vegetation,,,,,,,2,juvenile,Salvelinus malma,7/31/2025 10:01:16 PM,7/31/2025 9:57:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.201250619659,60.8035789399961
38,0,,231.911071777344,2,iPhone SE 3,4.93764887925202,6,60.8019742101944,-149.202574834482,308.764980316162,,,,,,,,7/31/2025 10:25:03 PM,,,,,44ee3be2-352a-433c-bf48-931499c81429,7/31/2025 10:25:09 PM,,,,Bm,,,,,,,,,,,,2-4,,Small Gravel,Large Gravel,ft,,,,,Y,,,,,,,355v,,,,,,,9,juvenile,Salvelinus malma,7/31/2025 10:25:53 PM,7/31/2025 10:20:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.202574834304,60.8019742103104
39,0,8.7890625,328.722534179688,2,iPhone SE 3,3.53479652992231,3,60.8023024265485,-149.202392704676,304.373500823975,,,,,,,,7/31/2025 10:38:53 PM,,,,,2ff7f66b-0540-43ef-8cbc-6fc8988a69ec,7/31/2025 10:38:56 PM,,,,Bm,,,,,,,,,,,,2-4,SWD,Large Gravel,Cobble,ft,,,,,Y,,,Y,,,,,,,,Y,N,,8,juvenile,Salvelinus malma,7/31/2025 10:40:32 PM,7/31/2025 10:35:00 PM,,,One Dolly varden that looks no more than a few weeks old,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.202392704473,60.8023024267097
40,0,,288.901550292969,2,iPhone SE 3,4.74865153019176,4.02936443818856,60.8027937776047,-149.201802788441,306.934413986281,,,,,,,,7/31/2025 11:02:16 PM,,,,,542ced03-1394-47ea-889b-9820b1908bc1,7/31/2025 11:02:19 PM,,,,Bm,,,,,,,,,,,,2-4,,Large Gravel,Cobble,ft,,,,,,,see notes,Y,,,,,,,,Y,Y,,,,None,7/31/2025 11:05:28 PM,7/31/2025 11:00:00 PM,,,,Electro fish upstream of last known AWC point. Captured only Dolly Varden at all points in the survey.,,,,,,,,,,,,,,,,,,,,,,,,,,-149.201802788013,60.8027937774246
41,0,,36.3671073913574,2,iPhone SE 3,4.74865153019176,4.02936443818856,60.8003364550519,-149.200931741064,300.217739181593,,,,,,,,7/31/2025 11:26:24 PM,,,,,86128ff4-ac7b-4aec-ad1e-c733705128d5,7/31/2025 11:26:43 PM,,,,Bm,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,Y,N,,,,None,,,,,,No fish survey performed. Visually observed juvenile fish moving. Saw one dead juv coho. Examined anal Finn and adipose Finn to confirm species.,,,,,,,,,,,,,,,,,,,,,,,,,,-149.200931741089,60.8003364549796
42,0,,101.418533325195,2,iPhone SE 3,4.74865153019176,4.02936443818856,60.4836548679143,-151.057820180572,14.4572468558326,,,,,,,,8/6/2025 12:26:59 AM,,,,,9c8b2335-4f9a-4346-b630-1083bd09ee12,8/6/2025 12:27:07 AM,,Cv,Ls ,Bm,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Set traps out for educational purposes for Wednesday market tomorrow,,,4,8/6/2025 12:28:48 AM,,,,,,None,,,,,,Observed busy family building dam just downstream of our location. Good reminder to write grant for new walkway!,,,,,,,,,,,,,,,,,,,,,,,,,,-151.057820180184,60.4836548677589
43,,,,1,,,,,,,,,,,,,,,,,,,0acb5264-c2a7-4b88-9ed6-ae1cbd85d1b1,8/7/2025 11:48:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Request to visit this site from Janette cadieux,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.716090663317,60.48983684136
44,0.150011999998704,0,105.656619742656,2,Juniper Systems AR4,0.658559033041078,1.1,60.5294026666667,-151.081506166667,32,0.930000007152557,0.479999989271164,0.790000021457672,2,,133,32,8/8/2025 7:30:47 PM,,,,,180f51b4-ea47-466b-8ad2-102d927ad7c0,8/7/2025 7:31:51 PM,jc,nz,lz,bm,,,,,,,,,,,,1-2,SWD,Fine Organic,Clay,ft,,,,,,,,Y,,,,,Most downstream,1,8/7/2025 7:35:59 PM,,,8/9/2025 12:53:04 AM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.081506167079,60.5294026665651
45,0.040743999999648,0,302.430124995525,2,Juniper Systems AR4,0.566127194188726,0.91,60.5294728333333,-151.0813845,33,1.04999995231628,0.519999980926514,0.910000026226044,2,,131,32,8/8/2025 7:36:43 PM,,,,,0e9d7faf-f65a-476a-8325-70be8ade5013,8/7/2025 7:37:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/7/2025 7:37:23 PM,,,8/9/2025 12:55:31 AM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.081384500155,60.5294728331745
46,0.924147999992016,336.89,17.6355159935744,2,Juniper Systems AR4,0.657647321898295,1.1,60.529586,-151.081322833333,34.3,1.12000000476837,0.540000021457672,0.970000028610229,2,,131,32,8/8/2025 7:38:25 PM,,,,,41a38059-f133-4ea5-913d-9cac98cdd654,8/7/2025 7:39:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8/8/2025 7:39:33 AM,,,8/9/2025 12:54:41 AM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.081322833505,60.5295859998577
47,0.125935999998912,0,41.9372761265137,2,Juniper Systems AR4,0.651920240520265,1.1,60.5296468333333,-151.0813005,33.9,0.939999997615814,0.479999989271164,0.810000002384186,2,,131,32,8/8/2025 7:39:20 PM,,,,,21f3345a-1581-4b9c-82b3-a3c466513dd1,8/7/2025 7:40:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8/7/2025 7:40:09 PM,,,8/9/2025 12:57:18 AM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.081300499591,60.5296468334764
48,0.090747999999216,0,317.233689172409,2,Juniper Systems AR4,3.4,4.5,60.5419361666667,-151.101186666667,14.3,0.959999978542328,0.529999971389771,0.800000011920929,1,,,32,8/8/2025 8:47:54 PM,,,,,1a437f76-a261-4b91-9940-2b689a5eb942,8/8/2025 8:48:52 PM,,,,bm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/8/2025 8:48:59 PM,,,8/8/2025 11:03:04 PM,,,None,,,,,,"minnow trap event for education/exploratory purposes, not an end of anadromy survey",,,,,,,,,,,,,,,,,,,,,,,,,,-151.101186666732,60.5419361666829
49,0.2777999999976,0,237.974176213248,2,Juniper Systems AR4,1.00498756211209,1.4,60.541878,-151.101230166667,10.1,0.910000026226044,0.490000009536743,0.759999990463257,1,,,32,8/8/2025 8:48:47 PM,,,,,b61bfdaa-83b8-493b-8d39-63b2fd5465e0,8/8/2025 8:49:21 PM,,,,bm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/8/2025 8:49:29 PM,,,8/8/2025 11:04:33 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.101230166751,60.5418780002095
50,0.042595999999632,0,253.451548797037,2,Juniper Systems AR4,0.927631392310545,1.3,60.5418363333333,-151.101235666667,11.2,0.889999985694885,0.529999971389771,0.720000028610229,1,,,32,8/8/2025 8:49:29 PM,,,,,9b307a67-8d62-4773-bb47-7c4b228a2ab6,8/8/2025 8:50:39 PM,,,ojp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/8/2025 8:50:51 PM,,,8/8/2025 11:05:57 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.101235666238,60.5418363332576
51,0.087043999999248,0,141.014309754899,2,Juniper Systems AR4,0.846463230152379,1.2,60.5417883333333,-151.101223666667,10.5,0.889999985694885,0.479999989271164,0.75,1,,,32,8/8/2025 8:50:48 PM,,,,,5eba61f2-46fb-4721-9d8a-91d972f9a37d,8/8/2025 8:51:11 PM,,,,ojp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/8/2025 8:51:20 PM,,,8/8/2025 11:05:24 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.101223666542,60.5417883333183
52,0.070375999999392,0,323.368500198117,2,Juniper Systems AR4,0.830963296421689,1.2,60.5417881666667,-151.1012575,11.9,0.949999988079071,0.560000002384186,0.790000021457672,1,,,31,8/8/2025 8:52:20 PM,,,,,f3f0e9c4-6434-4b8e-a6ce-9db5b017fdc7,8/8/2025 8:52:52 PM,,,,ojp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/8/2025 8:53:02 PM,,,8/8/2025 11:05:10 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.101257499791,60.5417881667668
53,0.007407999999936,0,166.510654605748,2,Juniper Systems AR4,0.860523096726637,1.3,60.541707,-151.101298166667,10.7,0.889999985694885,0.5,0.740000009536743,1,,,32,8/8/2025 8:53:25 PM,,,,,f1f294f7-7bcd-4f70-9f0e-61b75a30cc48,8/8/2025 8:54:21 PM,,,,ojp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/8/2025 8:54:31 PM,,,8/8/2025 11:06:35 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.101298166524,60.5417069999622
54,0.016667999999856,0,95.8801533420772,2,Juniper Systems AR4,0.846286003665427,1.4,60.537523,-151.092986166667,21.1,0.970000028610229,0.479999989271164,0.839999973773956,1,,,32,8/8/2025 10:33:13 PM,,,,,6e9161fe-c945-4522-947e-2f3b6734e968,8/8/2025 10:23:23 AM,ls,ojp,nz,bm,,,,,,,,,,,,2-4,,,,,,,,,,,,,,,,electriofish from downstream side of Culvert to upstream for educational and training purposes,,,,,,,1,juvenile,Oncorhynchus mykiss,8/8/2025 10:24:42 AM,8/8/2025 10:15:39 AM,juvenile,Oncorhynchus tshawytscha,,,,2,Cottidae,,1,juvenile,Oncorhynchus kisutch,,,,,,,,,less than 30mm,5,juvenile,,,,,,,,-151.092986166591,60.5375230001773
55,0,,100.726150512695,2,iPhone SE 3,4.74865153019176,8.05872887637706,60.7413154515075,-149.258106546615,236.612049180083,,,,,,,,7/31/2025 7:05:59 PM,,,,,ff36a744-6e24-4ccc-8f1c-08d1237ee8f2,7/31/2025 7:06:17 PM,Br,St,Ls,Bm,,,,,,,,,,,,,,,,,,,,,,,,,"Pools, lots of large woody debris",,"Opportunistic minnow trap set, not full end of anatomy survey",,,4,7/31/2025 12:06:00 AM,,,,5,juvenile,Salvelinus malma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.258106546279,60.7413154515577
56,0,167.065003113108,178.318267822266,2,iPhone SE 3,4.74865153019176,5.18398871215485,60.7414343792093,-149.259513932357,234.991038709879,,,,,,,,7/31/2025 7:08:50 PM,,,,,c0ecf26f-9785-47a0-a5f6-a1f36f051020,7/31/2025 7:08:53 PM,St,Ls,Br,Bm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7/30/2025 12:14:00 PM,,,,2,juvenile,Salvelinus malma,,,,,Both Over 150 mm FL,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.259513932343,60.7414343794077
57,0,340.3125,,2,iPhone SE 3,3.53553390593274,6,60.7415854745179,-149.260157849779,234.146595001221,,,,,,,,7/31/2025 7:11:31 PM,,,,,417b6767-4697-4213-83b2-c71e2242e50e,7/31/2025 7:12:18 PM,Ls,St,Br,Bm,,,,,,,,,,,,,,,,,,,,,,,,,,,Downstream side of road ,,,4,7/31/2025 12:12:00 AM,,,,5,juvenile,Salvelinus malma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.260157850129,60.7415854743461
58,0.072227999999376,0,164.578271146146,2,Juniper Systems AR4,1.56080107637072,2.1,60.5185531666667,-150.865639666667,76.3,1,0.550000011920929,0.829999983310699,1,,,27,7/29/2025 6:55:11 PM,,,,,e6d4566c-b9f0-42f9-81bd-fd121066c3f5,7/29/2025 6:55:15 PM,,BR,LS,BM,,,,,,,,,,,,1-2,SWD,Sand,Fine Organic,ft,,,,,,,,Y,,,,,,,,,N,,,,None,,7/29/2025 6:57:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.865639666713,60.5185531665679
59,0.02777999999976,0,294.676890400698,2,Juniper Systems AR4,1.77552809045647,2.6,60.5190315,-150.867780333333,79.3,1.02999997138977,0.490000009536743,0.879999995231628,1,,,32,7/29/2025 7:24:22 PM,,,,,5889d926-8dac-48cd-a1b1-3c856cf25763,7/29/2025 7:24:27 PM,,,,BM,,,,,,,,,,,,0-1,SWD,Sand,Fine Organic,ft,,%,1,,,,end of stream,Y,estimated gradient,,,see downstream point for start time,,,,N,Y,,,,None,7/29/2025 7:25:40 PM,7/30/2025 7:17:54 AM,,,,did not capture any fish with electrophys hiing. high confidence that minnow trap would capture juvenile salmon. Electra fish all the way up to this location from last known AWC point from 2023,,,,,,,,,,,,,,,,,,,,,,,,,,-150.867780333171,60.5190314998128
60,0.020371999999824,0,92.4254641504522,2,Juniper Systems AR4,2.28035085019828,2.7,60.5191188333333,-150.861787833333,77.3,0.910000026226044,0.46000000834465,0.790000021457672,1,,,32,7/29/2025 7:59:03 PM,,,,,20baa2d0-bfd8-4d9f-aa49-2ac1efaeea7f,7/29/2025 7:59:07 PM,,LS,BR,BM,,,,,,,,,,,,1-2,SWD,Silt,Fine Organic,ft,,%,1,,Y,,,Y,,,,Upstream of 2023 awc,,,,,,,,,None,,7/29/2025 8:00:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.861787833607,60.5191188331783
61,0.01851999999984,0,47.2073237315959,2,Juniper Systems AR4,1.56204993518133,2.2,60.5201821666667,-150.860450833333,79.9,0.889999985694885,0.46000000834465,0.759999990463257,1,,,32,7/29/2025 8:14:50 PM,,,,,b359631e-f415-4a1d-a0ca-6b6b4d78a25c,7/29/2025 8:14:53 PM,,BR,LS,BM,,,,,,,,,,,,0-1,SWD,Silt,Fine Organic,ft,,%,1,,,,end of stream,Y,becomes series of headwater feeder tribs Upstream of this point,,,textbook example of where meadow traps are probably most appropriate tool as opposed to electrophyser. Banks are very soft and footsteps likely spook fish away. recommend returning to minnow trap this point,,,,N,Y,,,,None,7/29/2025 8:16:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.86045083324,60.5201821667387
62,,,,1,,,,,,,,,,,,,,,,,,,8bb5f7d1-5209-42d3-8ee2-6dbcdd04841e,8/22/2025 9:43:48 PM,,,,Bm,,,,,,,,,,,,,,,,,,,,,,,see notes,Y,,,,"Set for lamprey, did not capture, located",,,8/22/2025 9:50:18 PM,Y,,,1,not recorded,Cottidae,8/22/2025 9:44:52 PM,8/22/2025 9:35:00 PM,not recorded,Gasterosteidae,,"Also captured horse hair worm, see pic",,3,,,,,,,,,,,,,,,,,,,,,,,,-150.754533535057,60.5368105858248
63,0.285207999997536,0,43.3562513416784,2,Juniper Systems AR4,0.642028036770981,0.95,60.5238323333333,-150.806871666667,70.6,0.920000016689301,0.509999990463257,0.769999980926514,1,,,32,8/22/2025 7:44:52 PM,,,,,f8ee035c-f9a8-4e29-82a9-8fda77a6b61d,8/22/2025 7:45:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,placed three minnow traps downstream and three minute traps upstream of road crossing. here with group of nine volunteers and two dogs!,,,6,8/22/2025 7:47:26 PM,,,8/22/2025 10:24:37 PM,1,juvenile,Oncorhynchus kisutch,,,,,over 120 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.806871667027,60.523832333471
64,0.094451999999184,0,273.685861269795,2,Juniper Systems AR4,0.723463889907437,1.2,60.5493051666667,-150.7528925,67.4,0.930000007152557,0.5,0.790000021457672,1,,,32,8/22/2025 8:21:20 PM,,,,,cfa437dc-1569-4446-ba88-2a1dfbff5855,8/22/2025 8:22:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,"4 traps upstream and 3 traps downstream, water is generally shallow, needed to find deep enough locations to place  traps",,,7,8/22/2025 8:23:23 PM,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.752892499882,60.5493051664676
65,0,0,359.47029657839,2,Google Pixel 4a,2.82,3.29,60.5423732833333,-151.218556433333,1,0.9,0.6,0.7,1,,,22,10/2/2025 11:41:02 PM,,,,,8d25e7b0-d27e-426e-9403-bbe5949fec31,10/2/2025 11:41:10 PM,CH,BM,JH,BG,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Most downstream,2,10/3/2025 11:43:35 PM,,,10/3/2025 11:17:17 PM,1,not recorded,Dallia pectoralis,,,adult,Cottidae,Euthanized,,,16,,,,,,,,,,,,,,,,,,,,,,,,-151.218556433759,60.5423732835192
66,0,0,13.2601403537201,2,Motorola moto g stylus,2.35,2.82,60.5423104166667,-151.218394516667,5.9,0.8,0.5,0.6,1,,,25,10/2/2025 11:46:36 PM,,,,,eb029be6-190e-45da-bad8-ccfd4599f691,10/2/2025 11:47:02 PM,CH,WK,Bm,Jh,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,2,10/2/2025 11:47:57 PM,Y,,10/3/2025 11:46:35 PM,2,juvenile,Oncorhynchus kisutch,,,not recorded,Pungitius pungitius,,Muddy bottom,,6,,,4,not recorded,Cottidae,,,,,,,,,,,,,,,,,,,-151.218394516921,60.5423104164717
67,0,179.6484375,51.6758003234863,2,iPhone 13,3.77290943088536,3,60.5422911657071,-151.217940391213,2.39019393920898,,,,,,,,10/2/2025 11:51:58 PM,,,,,87484475-49b8-4555-99dc-e45d393816f0,10/2/2025 11:52:52 PM,CH,JH,WK ,BM,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,2,10/2/2025 11:54:27 PM,,,10/3/2025 11:54:37 PM,2,not recorded,Pungitius pungitius,,,not recorded,Cottidae,,,,3,,,,,,,,,,,,,,,,,,,,,,,,-151.217940391595,60.5422911657167
68,0,0,332.165703594371,2,Motorola moto g stylus,3.29,3.29,60.5422709166667,-151.217612716667,4.4,1,0.7,0.7,1,,,14,10/2/2025 11:53:33 PM,,,,,b6744aa4-ef09-4f7b-a7cd-bbcdd7f4b77c,10/2/2025 11:56:00 PM,Wk,Ch,Jh,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Calm water above waterfall,,,2,10/2/2025 11:57:07 PM,Y,N,10/4/2025 12:08:10 AM,5,juvenile,Oncorhynchus kisutch,,,not recorded,Cottidae,,,,3,,,6,juvenile,Pungitius pungitius,,,,,,,,,,,,,,,,,,,-151.217612716722,60.5422709165395
69,2.777999999976,30.2,275.720772699028,2,Google Pixel 4a,2.82,3.29,60.5423451166667,-151.217527966667,2.8,0.9,0.6,0.7,1,,,21,10/2/2025 11:58:02 PM,,,,,61b1cee4-9863-41e7-8416-4c87d8aa2836,10/2/2025 11:58:05 PM,,,BM,BG,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,2,10/2/2025 11:58:49 PM,Y,N,10/4/2025 12:13:09 AM,6,not recorded,Dallia pectoralis,,,not recorded,Cottidae,Euthanized,,,1,,,1,juvenile,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,-151.217527966964,60.5423451164853
70,0,-1,314.013397216797,2,iPhone 13,3.51858290253911,3,60.542568882903,-151.217114913877,1.20507431030273,,,,,,,,10/3/2025 12:00:09 AM,,,,,e5f3dc85-a43c-4f7a-9a4f-96d437b1e7be,10/3/2025 12:00:25 AM,,CH,WK,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,2,10/3/2025 12:00:56 AM,N,N,10/4/2025 12:35:00 AM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.217114913511,60.5425688829015
71,0.97200003862381,-1,294.806060791016,2,iPhone 13,2.84776736741648,4.02936443818856,60.5425407258197,-151.216868418734,-4.10220711212605,,,,,,,,10/3/2025 12:03:44 AM,,,,,1da3f32f-92c1-4849-87fb-ba0e0fe7e78e,10/3/2025 12:04:23 AM,,Bg,Jh,Bm,,,,,,,,,,,,,,,,,,,,,,,end of stream,Y,,,,,Most upstream,2,10/3/2025 12:04:52 AM,N,Y,10/4/2025 12:41:08 AM,,,None,,,,,," Return to this site to measure gradient, use as example of an eoa survey using traps ￼",,,,,,,,,,,,,,,,,,,,,,,,,,-151.216868418492,60.5425407257567
72,0,0,16.1502128113796,2,Motorola moto g stylus,2.82,3.76,60.5425873166667,-151.216976033333,-7,1,0.6,0.8,1,,,22,10/3/2025 12:07:38 AM,,,,,54541cf0-5cd9-4893-b57f-3671bf7ccf0f,10/3/2025 12:07:44 AM,BG,Ch,Jh,Bm,,,,,,,,,,,,,,,,,,,,,,,,Y,Very incised channel,,,,Most upstream,2,10/3/2025 12:08:41 AM,Y,N,10/4/2025 12:32:43 AM,6,juvenile,Dallia pectoralis,,,juvenile,Oncorhynchus kisutch,Euthanized,,,3,,,3,,Pungitius pungitius,,,,,,,,,,,,,,,,,,,-151.21697603307,60.5425873166579
