"site","latitude","longitude","Alaska blackfish","Chinook salmon","Dolly Varden","Other species not listed (please specify in comment column)","Pacific salmon-unspecified","coho salmon","general fish observation, no species information","lamprey-unspecified","ninespine stickleback","no fish collected or observed","rainbow trout","salmonid, unspecified","sculpin-unspecified","slimy sculpin","sockeye salmon","steelhead (adult)","stickleback-unspecified","threespine stickleback","wood frog"
"60.5423451164853,-151.217527966964",60.5423451164853,-151.217527966964,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"60.5423732835192,-151.218556433759",60.5423732835192,-151.218556433759,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"60.5425873166579,-151.21697603307",60.5425873166579,-151.21697603307,6,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
"Beaver Creek Trib Marathon",60.612,-151.18509,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Candlelight - Downstream",60.56958,-151.19272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WalMart Creek",60.565602,-151.221296,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"60.5375230001773,-151.092986166591",60.5375230001773,-151.092986166591,0,2,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0
"60.6150878335298,-151.086157000426",60.6150878335298,-151.086157000426,0,1,0,0,0,0,0,0,0,0,8,0,3,0,0,8,0,0,0
"Centennial Park Launch",60.47904,-151.104456,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Crooked Creek Trib 1.2",60.31038,-151.28288,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lower Soldotna Creek",60.483352,-151.057714,0,19,10,0,1,423,0,7,3,0,47,3,96,76,16,0,15,12,0
"Lower Soldotna Creek",60.4833520000001,-151.057714,0,3,1,0,0,120,0,0,0,0,3,0,38,0,0,0,1,6,0
"Soldotna Creek Mouth",60.483352,-151.057714,0,2,0,0,0,86,0,0,0,0,3,0,43,0,0,0,2,1,0
"60.7413154515577,-149.258106546279",60.7413154515577,-149.258106546279,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7414343794077,-149.259513932343",60.7414343794077,-149.259513932343,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7415854743461,-149.260157850129",60.7415854743461,-149.260157850129,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7957461664763,-149.197589833061",60.7957461664763,-149.197589833061,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7960016668789,-149.197044166713",60.7960016668789,-149.197044166713,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7981191665113,-149.190669000109",60.7981191665113,-149.190669000109,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8019742103104,-149.202574834304",60.8019742103104,-149.202574834304,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8023024267097,-149.202392704473",60.8023024267097,-149.202392704473,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8031739661773,-149.201819101418",60.8031739661773,-149.201819101418,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8034507781268,-149.201317096786",60.8034507781268,-149.201317096786,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8035789399961,-149.201250619659",60.8035789399961,-149.201250619659,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clam Gulch Creek 1",60.239483,-151.400241,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cooper Creek Mouth",60.484066,-149.880981,0,0,1,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,0
"Forestner Culvert - Downstream",60.523868,-150.806821,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Funny River Rd Trib 1.1",60.459783,-151.000665,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granite Creek 1.1",60.801381,-149.203453,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granite Creek 4.1",60.789604,-149.209014,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isbell 1",60.495059,-150.968253,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNWR Trib 1",60.45829,-150.8764,0,0,2,0,0,3,0,0,4,0,0,0,2,0,0,0,0,0,0
"Moose River Trib 1",60.56372,-150.70284,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moose River Trib 1.2",60.56126,-150.69427,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moose River Trib 1.3",60.56302,-150.69737,0,0,2,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0
"Moose River Trib 1.5",60.558075,-150.691734,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moose River Trib 2.1",60.559255,-150.745044,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moose River Trib 2.2",60.560386,-150.753078,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moose River Trib 2.3",60.560942,-150.74669,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otter Trail 1",60.547627,-150.735925,0,0,2,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0
"Sixmile Trib 2",60.726715,-149.317621,0,0,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slikok Creek Platform",60.48221,-151.132684,0,0,1,0,0,11,0,0,1,0,0,0,5,0,0,0,0,1,0
"Unnamed Kenai Trib 1.1",60.518324,-150.865283,0,0,18,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unnamed Kenai Trib 1.2",60.51828,-150.86191,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Upper Ohmer Lake",60.45573,-150.28566,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Upper Soldotna Creek 1",60.555804,-150.922823,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,37,0,0
"60.6206078331563,-151.091485167091",60.6206078331563,-151.091485167091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eagle Rock Stream",60.54817,-151.111794,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0
"North Fork Anchor River",59.800435,-151.63683,0,0,0,0,225,0,0,100,0,0,0,0,4,0,0,0,0,0,0
"60.523832333471,-150.806871667027",60.523832333471,-150.806871667027,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5422709165395,-151.217612716722",60.5422709165395,-151.217612716722,0,0,0,0,0,5,0,0,6,0,0,0,3,0,0,0,0,0,0
"60.5423104164717,-151.218394516921",60.5423104164717,-151.218394516921,0,0,0,0,0,2,0,0,6,0,0,0,4,0,0,0,0,0,0
"60.7962438333778,-149.196412333064",60.7962438333778,-149.196412333064,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.796384833452,-149.195572166627",60.796384833452,-149.195572166627,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.797248000059,-149.192795333048",60.797248000059,-149.192795333048,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaver Creek MT #10",60.617139,-151.092254,0,0,0,0,0,15,0,0,13,0,0,0,1,0,0,0,0,0,0
"Beaver Creek Trib 1.1",60.57007,-151.1465,0,0,0,0,0,11,0,0,17,0,0,0,0,0,0,0,0,0,0
"Beaver Creek Trib 1.2",60.57484,-151.15033,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"Beaver Creek Trib 1.3",60.575217,-151.150814,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coal Creek Trib 1",60.38256,-151.14365,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,3,0,0
"Derks Lake Outlet",60.530884,-150.971561,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,160,0,0
"Dolly Varden Way - Upstream",60.527702,-150.984574,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0
"Forestner Culvert - Upstream",60.523834,-150.806872,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kasilof Trib 2",60.323,-151.29253,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lower Beaver Creek",60.560075,-151.12611,0,0,0,0,0,16,0,0,0,0,1,0,0,2,0,0,0,0,0
"Mackey Lakes Culvet - Downstream",60.525225,-151.00211,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,179,0,0
"Moose River Trib 1.4",60.56,-150.69296,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moose River Trib 3.1 - Downstream",60.549277,-150.75262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"No Name Creek (Shqui Tsaina)",60.566,-151.272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Nikiski Lake 1.1",60.80209,-150.995557,0,0,0,0,0,2,0,0,0,0,1,0,0,9,0,0,0,0,0
"North Nikiski Lake 1.2",60.797528,-150.985968,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,49,0
"Resurrection Pass Bridge",60.483932,-149.951034,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
"Savena Lake Trib",60.556954,-150.999102,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,0,0
"Tree Lake",60.559184,-150.918389,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,0,0
"West Fork Beaver Creek Bridge - Upstream",60.640639,-151.084047,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Mackey Lake",60.523376,-151.007324,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,200,0,0
"West Mackey Lake 2",60.523712,-151.006649,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,103,0,0
"60.5422911657167,-151.217940391595",60.5422911657167,-151.217940391595,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
"Shqui Tsatnu",60.56605,-151.270569,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Unknown Nikiski Lake 1",60.772427,-151.086562,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Bird Lake",60.980488,-150.413682,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
"Summit Lake Outlet",60.642345,-149.493959,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
"60.5368105858248,-150.754533535057",60.5368105858248,-150.754533535057,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
"McLain Lake NE",60.869922,-150.57885,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,194,0,0
"North Nikiski Lake 2",60.794255,-150.987442,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0
"Snag Lake South",60.813447,-150.69006,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44,0,0
"60.6191638332369,-151.091797000174",60.6191638332369,-151.091797000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"60.6221846664509,-151.090153332935",60.6221846664509,-151.090153332935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6222674998185,-151.090121500235",60.6222674998185,-151.090121500235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bernice Culvert",60.690472,-151.38359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
"Dolly Varden Way - Downstream",60.52771,-150.984454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"East Mackey Lake",60.535273,-150.9913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0
"Mackey Lakes Crossing - Upstream",60.525146,-151.002331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"Salamatof Creek",60.639425,-151.317488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0
"Sevena lake Trib 2",60.54223,-150.99913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"South Mackey Pond",60.522313,-151.007562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0
"Suneva Lake",60.751657,-151.194125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,0
"Union Lake 1",60.525046,-151.03399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,0,0
"Unknown Nikiski Lake 2",60.76791,-151.072017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
"soldotna_creek2",60.54188,-150.9276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"Kasilof Trib 1.1",60.3333,-151.27026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"West Beck Lake 2",60.727634,-151.143755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60.6223748335068,-151.09008166624",60.6223748335068,-151.09008166624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"60.4836089833584,-151.058868583291",60.4836089833584,-151.058868583291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.4836546668301,-151.058816833144",60.4836546668301,-151.058816833144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.4836548677589,-151.057820180184",60.4836548677589,-151.057820180184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.4836668332046,-151.058852333666",60.4836668332046,-151.058852333666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.48983684136,-149.716090663317",60.48983684136,-149.716090663317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5133439460281,-150.859893271401",60.5133439460281,-150.859893271401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5185531665679,-150.865639666713",60.5185531665679,-150.865639666713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5190314998128,-150.867780333171",60.5190314998128,-150.867780333171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5191188331783,-150.861787833607",60.5191188331783,-150.861787833607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5198751668078,-150.860827666621",60.5198751668078,-150.860827666621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5199434999825,-150.860761999773",60.5199434999825,-150.860761999773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5199826668706,-150.860682166494",60.5199826668706,-150.860682166494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5200878332918,-150.86050333348",60.5200878332918,-150.86050333348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5201656666832,-150.860427666587",60.5201656666832,-150.860427666587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5201821667387,-150.86045083324",60.5201821667387,-150.86045083324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5202457920482,-150.860424536857",60.5202457920482,-150.860424536857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5202666345661,-150.860350736663",60.5202666345661,-150.860350736663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.52127209827,-150.859240390226",60.52127209827,-150.859240390226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5294026665651,-151.081506167079",60.5294026665651,-151.081506167079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5294728331745,-151.081384500155",60.5294728331745,-151.081384500155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5295859998577,-151.081322833505",60.5295859998577,-151.081322833505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5296468334764,-151.081300499591",60.5296468334764,-151.081300499591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5417069999622,-151.101298166524",60.5417069999622,-151.101298166524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5417881667668,-151.101257499791",60.5417881667668,-151.101257499791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5417883333183,-151.101223666542",60.5417883333183,-151.101223666542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5418363332576,-151.101235666238",60.5418363332576,-151.101235666238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5418780002095,-151.101230166751",60.5418780002095,-151.101230166751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5419361666829,-151.101186666732",60.5419361666829,-151.101186666732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5425407257567,-151.216868418492",60.5425407257567,-151.216868418492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5425688829015,-151.217114913511",60.5425688829015,-151.217114913511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5493051664676,-150.752892499882",60.5493051664676,-150.752892499882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.5524128332384,-150.75742716669",60.5524128332384,-150.75742716669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6124098334616,-151.095687167088",60.6124098334616,-151.095687167088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6137856666128,-151.101816000369",60.6137856666128,-151.101816000369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6138270491459,-151.101867428021",60.6138270491459,-151.101867428021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6142543333377,-151.101662000383",60.6142543333377,-151.101662000383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6175083332561,-151.092390667101",60.6175083332561,-151.092390667101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6186671667768,-151.091918500011",60.6186671667768,-151.091918500011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.6202111668466,-151.091437499787",60.6202111668466,-151.091437499787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7964421667126,-149.194319500099",60.7964421667126,-149.194319500099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.7980731802086,-149.190451667099",60.7980731802086,-149.190451667099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8003364549796,-149.200931741089",60.8003364549796,-149.200931741089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60.8027937774246,-149.201802788013",60.8027937774246,-149.201802788013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
